rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,value,value_stddev,failed
75,32,18,58,0.0794787244906,0.614159079508,15,0.863114101646,None,false
76,32,19,58,0.0942001973876,0.406773739917,15,0.930664518778,None,false
76,30,19,58,0.06160033075,1.43667774554,15,0.909541954276,None,false
76,29,19,58,0.0629964160787,1.35320417538,15,0.909541954276,None,false
75,33,18,58,0.0949810019766,0.32217597336,15,0.950974399658,None,false
75,31,19,58,0.0628668987083,1.79588870087,15,0.860058310989,None,false
76,31,18,58,0.0767056075541,0.58186987918,15,0.909541954276,None,false
90,30,19,58,0.0738845980468,0.617891940696,14,0.773011242219,None,false
75,31,20,58,0.0875796076303,1.31451545139,15,0.950974399658,None,false
76,32,18,58,0.0771954869554,1.7761340404,15,0.983439526744,None,false
77,32,18,58,0.0897953615282,1.93994434442,15,0.981029981719,None,false
75,30,19,58,0.0636867897542,0.986328610714,15,0.909541954276,None,false
71,30,19,58,0.066138662478,0.992343474249,15,0.832788193734,None,false
75,31,19,58,0.0722475896471,1.107715067,15,0.909541954276,None,false
76,32,19,58,0.0761291701225,0.124363137169,15,0.978776031181,None,false
59,32,18,58,0.0691362494393,1.13013083081,14,0.68936355513,None,false
76,32,19,58,0.0757938775802,0.507359818264,15,0.978776031181,None,false
76,32,18,58,0.0753699044248,0.475928995262,15,0.983439526744,None,false
71,31,18,58,0.0641383598287,1.19298490589,15,0.832788193734,None,false
77,31,18,58,0.0865040981205,2.0,15,0.981029981719,None,false
76,32,19,58,0.0818105867791,0.511580127315,15,0.930664518778,None,false
75,33,18,58,0.0819832821089,1.75061582311,15,0.950974399658,None,false
59,31,19,58,0.0987279618458,0.667859071745,14,0.224192253805,None,false
59,31,19,58,0.107500192165,1.22679360271,13,0.916075747319,None,false
76,31,19,58,0.0686686674087,1.35654710783,15,0.887341435167,None,false
60,31,19,58,0.0993305190699,1.16189748532,13,0.916075747319,None,false
75,34,18,58,0.0833192909004,1.75778210596,15,0.922558146524,None,false
74,30,18,58,0.0726096216059,0.509083636561,15,0.791627217325,None,false
77,32,19,58,0.0861563986373,1.67270300725,15,0.74145151814,None,false
76,31,18,58,0.102027446628,0.265371486889,15,0.863114101646,None,false
75,32,19,58,0.0873705686892,0.953877606471,15,0.950974399658,None,false
74,33,20,58,0.0768812866098,1.41017632385,15,0.336140384781,None,false
76,31,19,58,0.0870215496418,1.22247695231,15,0.938258190484,None,false
75,31,18,58,0.0674869503042,1.85188262474,15,0.909541954276,None,false
60,31,20,58,0.106772979013,1.50760922714,13,0.916075747319,None,false
75,32,18,58,0.0770892389206,1.33719358907,15,0.909541954276,None,false
76,31,20,58,0.0884707332556,1.05895222305,15,0.930664518778,None,false
75,31,19,58,0.0746517358401,1.3224452279,15,0.909541954276,None,false
76,32,18,58,0.0926811705278,1.86694757448,15,0.938258190484,None,false
75,33,19,58,0.0887061756036,1.17126328341,15,0.872464082591,None,false
77,31,18,58,0.0873292266503,1.84632091019,15,0.981029981719,None,false
75,32,18,58,0.089708413172,1.04060912382,15,0.863114101646,None,false
75,32,19,58,0.0694986758357,1.28246652442,15,0.892952110412,None,false
91,29,18,58,0.0720633972477,0.600866883235,14,0.78677114826,None,false
75,32,19,58,0.0796592871387,1.1592767278,15,0.905723888734,None,false
76,31,20,58,0.092418025124,0.422313917611,15,0.930664518778,None,false
72,30,19,58,0.0632062303362,0.441506667267,15,0.653842012422,None,false
76,33,18,58,0.0786878045638,1.90991941617,15,0.978776031181,None,false
76,31,19,58,0.0739040429565,0.521664256421,15,0.983439526744,None,false
77,31,18,58,0.100882620699,2.0,15,0.938258190484,None,false
76,31,19,58,0.0980811398299,0.632147606897,15,0.938258190484,None,false
75,32,19,58,0.0792347361052,1.52617811578,15,0.976425219121,None,false
71,31,18,58,0.0696559143877,1.05070208419,15,0.832788193734,None,false
60,31,20,58,0.0975343393777,0.951185901165,13,0.916075747319,None,false
75,33,18,58,0.0783858943872,1.83658650802,15,0.976425219121,None,false
75,30,19,58,0.0693260048893,1.13992314966,15,0.909541954276,None,false
75,32,19,58,0.0878969817794,0.491690124505,15,0.950974399658,None,false
76,32,19,58,0.0785294083106,1.45016075197,15,0.978776031181,None,false
59,31,20,58,0.101960479994,0.677418682988,13,0.916075747319,None,false
75,32,20,58,0.0811271237141,1.56911677281,15,0.922558146524,None,false
76,31,19,58,0.0710974713963,1.77972428231,15,0.887341435167,None,false
60,31,19,58,0.104921328512,1.83438222487,13,0.916075747319,None,false
76,31,18,58,0.0888640314306,0.200927490341,15,0.863114101646,None,false
75,32,19,58,0.0837205894889,1.13504804525,15,0.950974399658,None,false
76,32,18,58,0.100233124907,1.99416711816,15,0.938258190484,None,false
60,31,19,58,0.10224988193,0.684240505033,13,0.916075747319,None,false
