rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,value,value_stddev,failed
5,0,10,9,0.3,2.0,11,None,None,true
5,0,10,2,0.281639771209,2.0,15,None,None,true
5,0,10,4,0.298421115314,2.0,15,None,None,true
126,0,30,7,0.288576035403,0.05,10,None,None,true
5,0,30,4,0.289429410173,0.05,12,None,None,true
5,90,30,10,0.3,0.05,12,None,None,true
5,90,30,12,0.3,0.05,15,None,None,true
126,0,10,20,0.3,0.951628152336,15,None,None,true
5,90,30,2,0.26664197643,2.0,11,None,None,true
5,90,30,5,0.258271466705,2.0,11,0.0563221781889,None,false
126,90,30,3,0.287289546491,0.05,11,None,None,true
126,0,30,16,0.290467640897,2.0,13,None,None,true
126,0,30,10,0.296262302981,0.05,13,None,None,true
126,0,10,20,0.3,1.18067761271,14,None,None,true
126,0,30,6,0.286071196105,2.0,11,None,None,true
126,0,10,26,0.28704776234,0.05,12,None,None,true
5,0,10,10,0.3,2.0,10,None,None,true
126,90,10,20,0.3,1.98614693063,15,None,None,true
126,0,30,9,0.3,0.05,11,None,None,true
5,0,30,13,0.266657569168,0.05,12,None,None,true
5,0,10,6,0.297235556444,2.0,13,None,None,true
126,0,10,31,0.294917991965,0.05,11,None,None,true
126,90,10,33,0.297363496147,0.05,10,None,None,true
5,0,30,19,0.3,1.24213664559,11,None,None,true
126,0,30,10,0.3,0.05,15,None,None,true
5,90,10,2,0.3,2.0,15,None,None,true
5,90,10,2,0.293210516235,2.0,15,None,None,true
126,0,10,8,0.3,2.0,15,None,None,true
126,0,10,2,0.3,2.0,15,None,None,true
5,0,10,12,0.3,0.909063941263,15,None,None,true
126,0,10,20,0.292870877302,2.0,14,None,None,true
126,0,30,8,0.3,0.05,10,None,None,true
126,0,30,12,0.291087531735,2.0,12,None,None,true
5,0,30,2,0.295208789125,2.0,12,None,None,true
5,90,30,10,0.25160145509,0.05,11,None,None,true
126,0,30,2,0.284329874363,0.05,11,None,None,true
5,0,30,9,0.275344027662,2.0,11,None,None,true
5,0,10,11,0.3,0.219374053177,15,None,None,true
126,0,30,26,0.28493089972,2.0,11,None,None,true
126,0,10,30,0.3,0.05,12,None,None,true
5,0,10,9,0.3,0.05,16,None,None,true
5,90,10,13,0.272168462123,0.05,11,None,None,true
126,0,11,35,0.29902078893,0.05,11,None,None,true
126,0,10,21,0.3,0.05,11,None,None,true
126,90,10,12,0.291354127875,2.0,11,None,None,true
126,90,30,16,0.289204878322,2.0,11,None,None,true
5,90,15,11,0.3,0.05,11,None,None,true
126,0,10,27,0.289901619353,0.05,11,None,None,true
126,0,10,19,0.289515514168,2.0,12,None,None,true
33,90,30,2,0.283212927907,2.0,11,None,None,true
126,0,30,22,0.277882878697,2.0,11,None,None,true
126,0,10,22,0.3,0.05,12,None,None,true
126,90,10,12,0.283224453026,2.0,11,None,None,true
9,0,30,18,0.295101521032,1.29711062749,11,None,None,true
5,90,30,4,0.288575389714,2.0,12,0.130150564022,None,false
5,90,30,7,0.3,0.05,12,None,None,true
126,0,30,20,0.3,2.0,11,None,None,true
126,90,10,10,0.3,2.0,12,None,None,true
5,0,30,15,0.3,0.875561237539,11,None,None,true
5,16,30,19,0.270210818792,0.05,11,None,None,true
5,90,10,10,0.295488577596,2.0,11,None,None,true
126,90,30,7,0.292539957963,0.05,11,None,None,true
126,90,30,8,0.274200717071,0.05,11,None,None,true
96,0,24,9,0.3,2.0,16,None,None,true
126,0,10,30,0.3,0.05,11,None,None,true
5,90,10,21,0.279715752226,0.05,11,None,None,true
126,8,30,20,0.290876477995,2.0,11,None,None,true
5,70,29,12,0.267129763093,0.05,11,-0.334671370831,None,false
5,90,30,14,0.289970798505,2.0,11,None,None,true
126,0,10,24,0.291125901486,2.0,12,None,None,true
5,36,30,18,0.3,0.05,11,None,None,true
5,83,30,8,0.291058065855,2.0,11,None,None,true
5,0,26,20,0.283383642216,0.05,11,None,None,true
5,26,21,2,0.299542470719,2.0,13,None,None,true
5,0,18,24,0.280747241083,0.05,11,None,None,true
126,90,17,19,0.294497226688,0.05,11,None,None,true
5,0,30,18,0.277711354995,0.05,12,None,None,true
126,90,15,9,0.3,2.0,11,None,None,true
126,90,23,17,0.289085672899,0.05,11,None,None,true
45,90,30,10,0.285096855598,0.05,11,None,None,true
98,16,26,20,0.3,0.05,11,None,None,true
5,90,30,7,0.3,2.0,11,None,None,true
126,90,21,20,0.287629188181,0.05,11,None,None,true
29,42,25,15,0.297861445854,0.05,11,None,None,true
5,80,22,5,0.297782920045,2.0,12,0.130150564022,None,false
5,90,18,6,0.299884937734,2.0,15,None,None,true
126,90,22,15,0.3,0.05,15,None,None,true
5,0,25,15,0.278560483266,0.05,11,None,None,true
5,80,30,4,0.290675244121,0.05,11,None,None,true
126,0,10,19,0.278535907619,0.05,11,None,None,true
5,0,10,9,0.3,0.05,11,None,None,true
5,48,29,13,0.3,0.05,11,None,None,true
126,90,24,14,0.294022090457,0.05,11,None,None,true
30,84,29,11,0.295056853956,0.05,11,None,None,true
18,74,28,17,0.296155788826,0.05,11,None,None,true
5,90,30,16,0.277279349005,0.05,11,None,None,true
5,90,19,16,0.294775652914,0.05,11,None,None,true
126,90,12,16,0.291435941652,0.05,11,None,None,true
126,41,26,16,0.296657761143,2.0,11,0.389173987857,None,false
22,42,25,16,0.292446674812,0.05,11,None,None,true
101,46,26,45,0.135399574073,0.0781275820376,4,-0.686796542433,None,false
15,7,26,56,0.217230225938,1.84638641809,17,None,None,true
17,90,25,58,0.128528167598,0.3393872995,16,None,None,true
55,34,20,16,0.3,1.69216537183,12,0.130134513211,None,false
62,0,19,16,0.298521510259,0.05,13,None,None,true
88,0,20,16,0.3,0.05,11,None,None,true
39,64,24,58,0.0,2.0,15,-0.0868069286774,None,false
91,90,20,16,0.3,2.0,11,None,None,true
94,90,21,16,0.3,2.0,11,None,None,true
5,0,20,16,0.3,2.0,11,None,None,true
5,90,21,58,0.0,2.0,15,-0.0903395075128,None,false
126,11,26,58,0.3,0.05,15,None,None,true
78,39,30,58,0.142122620878,2.0,15,-0.107874851002,None,false
90,34,10,58,0.0,0.05,15,0.20420377992,None,false
5,0,10,16,0.3,2.0,12,None,None,true
65,55,23,16,0.3,2.0,12,None,None,true
42,28,25,16,0.3,0.05,10,None,None,true
126,90,10,16,0.3,0.05,12,None,None,true
5,0,24,16,0.3,0.05,12,None,None,true
27,90,30,16,0.3,0.05,11,None,None,true
107,0,30,16,0.3,0.05,11,None,None,true
126,90,28,16,0.3,2.0,11,None,None,true
126,0,10,16,0.3,0.05,11,None,None,true
85,36,25,58,0.0578371085681,1.24335334284,15,0.475357451121,None,false
5,0,16,16,0.3,2.0,11,None,None,true
5,0,16,17,0.3,2.0,13,None,None,true
126,90,10,16,0.3,2.0,11,None,None,true
66,48,19,16,0.3,1.37159345151,11,None,None,true
81,13,10,16,0.3,1.92777459823,11,None,None,true
126,90,24,16,0.298863292425,0.05,11,None,None,true
14,81,18,16,0.3,2.0,11,None,None,true
5,27,19,16,0.3,2.0,15,None,None,true
58,0,18,16,0.3,0.05,11,None,None,true
50,69,26,56,0.110518827501,1.34654878341,17,0.317451092641,None,false
5,90,20,16,0.3,0.05,11,None,None,true
126,0,20,16,0.3,2.0,11,None,None,true
126,89,18,16,0.3,2.0,11,None,None,true
126,90,16,16,0.3,0.05,11,None,None,true
5,0,23,16,0.3,2.0,11,None,None,true
126,0,10,17,0.3,2.0,15,None,None,true
126,76,30,16,0.3,0.05,11,None,None,true
5,23,10,16,0.3,2.0,11,None,None,true
109,67,10,2,0.299781919722,2.0,14,None,None,true
5,5,30,18,0.3,2.0,15,None,None,true
5,19,30,8,0.3,1.8828456621,15,None,None,true
5,75,30,17,0.3,0.05,15,None,None,true
5,90,30,11,0.299973575272,1.76505407758,15,None,None,true
5,21,24,11,0.3,2.0,12,None,None,true
56,37,17,14,0.3,1.75093596973,15,None,None,true
87,5,14,11,0.0957661760288,1.53445244402,14,None,None,true
87,0,25,17,0.3,0.05,12,None,None,true
53,59,13,40,0.098153124518,0.0600118880004,17,-0.367286371496,None,false
37,84,13,43,0.136771952815,0.184185082472,17,None,None,true
18,76,15,36,0.10223750975,0.452021043181,16,-0.371556051863,None,false
44,74,13,41,0.111098766774,0.308010557792,17,0.268794742749,None,false
115,6,12,41,0.0645595264976,1.88007865971,19,None,None,true
19,68,24,36,0.283735805516,1.45845015863,17,-0.33390691898,None,false
32,35,19,18,0.3,1.89624493094,16,None,None,true
31,39,19,14,0.3,1.60069302432,14,0.296933800352,None,false
53,39,19,20,0.3,1.6416983536,15,None,None,true
45,41,19,13,0.3,1.67315285095,15,-0.0582772054922,None,false
51,32,20,16,0.3,1.44545562235,11,0.389173987857,None,false
55,41,19,11,0.295314505785,1.67780034638,13,0.218238312707,None,false
47,32,18,14,0.3,1.72553190157,13,None,None,true
39,39,19,17,0.3,1.68419562898,15,0.262169134307,None,false
44,34,18,19,0.3,1.41929487587,12,None,None,true
49,38,18,12,0.3,1.70458582236,14,0.296933800352,None,false
43,40,18,10,0.3,1.66282814157,13,0.218238312707,None,false
48,34,20,14,0.3,1.70128017276,13,None,None,true
46,37,19,14,0.3,1.68793612464,14,0.296933800352,None,false
56,31,18,12,0.3,1.68243471826,11,None,None,true
55,35,19,7,0.3,1.93131268604,14,None,None,true
54,30,19,9,0.3,1.53554957415,14,None,None,true
47,38,19,15,0.276058774351,1.84824271028,12,None,None,true
48,33,19,16,0.3,1.54747054717,12,0.130134513211,None,false
90,24,14,45,0.183810462439,0.792358990055,7,None,None,true
52,34,19,11,0.298190904713,1.75665519088,13,0.218238312707,None,false
10,32,25,53,0.237610770069,0.596347242272,4,-0.274566671272,None,false
29,20,10,19,0.0515403971518,1.40188590448,7,None,None,true
88,45,22,30,0.0239318911645,0.241171328104,9,-0.0902218953696,None,false
103,63,14,4,0.198833704626,0.849646996668,19,None,None,true
111,90,23,34,0.182712190723,1.51886183843,10,None,None,true
66,77,30,41,0.105372055807,1.22142979004,16,None,None,true
48,0,17,61,0.115233887037,0.414669434928,17,None,None,true
